instancia,autoria,algoritmo,q-medio,q-desvio,t-medio,% do ótimo
Zimbabwe,Beyoncé,BCGα0.11vmp,469407.0,2823.24,60.07,492.32
Zimbabwe,Beyoncé,BLPMsh,454303.9,191737.78,60.05,476.48
