instancia,algoritmo,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
Zimbabwe,BCGα0.11vmp,467513,471622,471082,470105,467157,465204,470968,474511,469456,466452
Zimbabwe,BLPMsh,852240,683531,558214,474010,422175,356144,329313,305693,291929,269790
